handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Cafetera Bene Casa 6t,PRODUCT,Cafetera Electrica Bene Casa 6t,true,<p>Cafetera Electrica Bene Casa 6t</p>,appliances;latin-flavors,,,,D'REYES,Bene Casa,33,,26.4,IN_STOCK,false,,,37005902640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafetera Bene Casa 6t,MEDIA,,,,,,fc80e7_e83f1446f8f44b13865f4258c527d0a4~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frazada Cubana Blanca,PRODUCT,Frazada Cubana Blanca,true,<p>Frazada Cubana Blanca</p>,appliances;latin-flavors,,,,D'REYES,Dreyes,1.02,,0.816,IN_STOCK,false,,,769658390122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frazada Cubana Blanca,MEDIA,,,,,,fc80e7_1b1584b18af047d5aac2434111683c11~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazas 12piezas Marron,PRODUCT,Tazas 12piezas Marron,false,<p>Tazas 12piezas Marron</p>,appliances;latin-flavors,,,,D'REYES,Bene Casa,9,,7.2,IN_STOCK,false,,,08379910495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazas Cafe 13piezas Marr,PRODUCT,Tazas Cafe 13piesas ,false,<p>Tazas Cafe 13piesas color marón</p>,appliances;latin-flavors,,,,D'REYES,Bene Casa,9,,7.2,IN_STOCK,false,,,083799104944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrachitas El Exquisito Cont,PRODUCT,Borrachitas El Exquisito Cont,true,<p>Borrachitas El Exquisito Cont</p>,latin-flavors;bakery-snacks,,,,D'REYES,El exquisito,9.6,,7.68,IN_STOCK,false,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrachitas El Exquisito Cont,MEDIA,,,,,,fc80e7_ca74857442bf4d74ac76d2d85bc492be~mv2.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake Rusk Biscocho 14/650g,PRODUCT,Cake Rusk Biscocho 14/650g,true,<p>Cake Rusk Biscocho 14/650g</p>,latin-flavors;bakery-snacks,,,,D'REYES,Mounsier,68,,54.4,IN_STOCK,false,,,627265012403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake Rusk Biscocho 14/650g,MEDIA,,,,,,fc80e7_0731370e74904ebb9e667a10f518ca6a~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
