Product image,Imagen,Variant,SKU,Product category,Product name,Total value,Inventory
"https://static.wixstatic.com/media/fc80e7_3cfe8024fcc149529820ea8ba1f31982~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Sazon Completo 12oz,33844901011,Cuba All ProductsSpices & Sauces,Sazon Completo 12oz,,0
"https://static.wixstatic.com/media/fc80e7_06c80208a00f42688a2b7b5f1c00bae9~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Cafe Cubita 10oz,6.85444E+11,All ProductsCofeeCuba ,Cafe Cubita 10oz,,0
"https://static.wixstatic.com/media/fc80e7_9b11c83359764dd19a00d0d73fa25005~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Irombeer 8/2l,75463106675,BeveragesCuba All Products,Irombeer 8/2l,,0
"https://static.wixstatic.com/media/fc80e7_5f4197aeee754c3f97a94f588888fe81~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",#°VALOR!,Yogurt Yokey Fresa-Banana,7.53611E+11,All ProductsDairyCuba ,Yogurt Yokey Fresa-Banana,,0
"https://static.wixstatic.com/media/fc80e7_5f4197aeee754c3f97a94f588888fe81~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",#°VALOR!,Perfume Arabe Arabia Madame,2.91109E+11,Cuba Beauty & Personal CareAll Products,Perfume Arabe Arabia Madame,,0
"https://static.wixstatic.com/media/fc80e7_96e70d70000a4b35aaf435e44b379b4a~mv2.png/v1/fit/w_50,h_50,q_90/file.png",Imagen,Don Gollo Lemon Slice,8.50042E+11,All ProductsBakery / Baked GoodsCuba ,Don Gollo Lemon Slice,,0
"https://static.wixstatic.com/media/fc80e7_5f4197aeee754c3f97a94f588888fe81~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",#°VALOR!,Grano Mani El Faro 2oz,1151,All ProductsCuba Candy,Grano Mani El Faro 2oz,,0
"https://static.wixstatic.com/media/fc80e7_262587b98aed4f3997ed82f0067365c3~mv2.webp/v1/fit/w_50,h_50,q_90/file.webp",Imagen,Mayonesa Don Tito Cilantro 30oz,53386256966,Spices & SaucesAll ProductsCuba ,Mayonesa Don Tito Cilantro 30oz,,0
"https://static.wixstatic.com/media/fc80e7_f65ab7374ec242b1bfa9fb03ed032ff6~mv2.png/v1/fit/w_50,h_50,q_90/file.png",Imagen,Display Sazones La Lechonera 10x6pack,1231,Spices & SaucesAll ProductsCuba ,Display Sazones La Lechonera 10x6pack,,0
"https://static.wixstatic.com/media/fc80e7_8184fdcd761245bc9a0689ab613c9bc3~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Matebeer Mate Soda 2l,77186740037,Cuba All ProductsBeverages,Matebeer Mate Soda 2l,,0
"https://static.wixstatic.com/media/fc80e7_a47277e86a744427bad212550bd1e693~mv2.png/v1/fit/w_50,h_50,q_90/file.png",Imagen,Don Gollo Masa Real Guayaba/Coc,8.50042E+11,Bakery / Baked GoodsAll ProductsCuba ,Don Gollo Masa Real Guayaba/Coc,,0
"https://static.wixstatic.com/media/fc80e7_3620639ffcbf40e1a0b6badf37753b46~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Vasochela Original Club America/ct 24,7.50305E+12,BeveragesMexicoAll Products,Vasochela Original Club America/ct 24,,0
"https://static.wixstatic.com/media/fc80e7_d1f87d27322041689fac53513a392f72~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Chips Platano Frank,7.1971E+11,SnacksCuba All Products,Chips Platano Frank,,0
"https://static.wixstatic.com/media/fc80e7_87a442a80f174fd28a74ce01ba456f24~mv2.avif/v1/fit/w_50,h_50,q_90/file.webp",Imagen,Corn Truffle In Brine / Huitlacoche En Salmuera 32 Oz/12,8.4131E+11,MexicoAll ProductsCanned & Preserves,Corn Truffle In Brine / Huitlacoche En Salmuera 32 Oz/12,,0
"https://static.wixstatic.com/media/fc80e7_b0988fe19e5542d0bf049bee0a91a7de~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Yellow cherries in syrup / Nance en almibar 32 oz/12,8.4131E+11,All ProductsMexicoCanned & Preserves,Yellow cherries in syrup / Nance en almibar 32 oz/12,,0
"https://static.wixstatic.com/media/fc80e7_a3bca045609349189b02ee67507942e2~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Mix Chela Original Club America 55 Ml 1.86 Oz 20 Ct,7.50305E+12,MexicoBeveragesAll Products,Mix Chela Original Club America 55 Ml 1.86 Oz 20 Ct,,0
"https://static.wixstatic.com/media/fc80e7_f4c1e58da1544855afb74173d7340c60~mv2.webp/v1/fit/w_50,h_50,q_90/file.webp",Imagen,Pru Caja 24unit,1.99284E+11,Cuba BeveragesAll Products,Pru Caja 24unit,,0
"https://static.wixstatic.com/media/fc80e7_0731370e74904ebb9e667a10f518ca6a~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Cake Rusk Biscocho 14/650g,6.27265E+11,All ProductsCuba Bakery / Baked Goods,Cake Rusk Biscocho 14/650g,,0
"https://static.wixstatic.com/media/fc80e7_5f4197aeee754c3f97a94f588888fe81~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",#°VALOR!,Perfume Mariposa Suchel Forever 3.3fl,1159,All ProductsBeauty & Personal CareCuba ,Perfume Mariposa Suchel Forever 3.3fl,,0
"https://static.wixstatic.com/media/fc80e7_3cfe8024fcc149529820ea8ba1f31982~mv2.jpg/v1/fit/w_50,h_50,q_90/file.jpg",Imagen,Sazon Completo Badia 1.75lb,33844905514,Cuba Spices & SaucesAll Products,Sazon Completo Badia 1.75lb,,0
"https://static.wixstatic.com/media/fc80e7_e6c9d953bede41a28c6d0ee7d4711c8e~mv2.png/v1/fit/w_50,h_50,q_90/file.png",Imagen,Petit Nectar de Naranja 1lt,24474002759,BeveragesCuba All Products,Petit Nectar de Naranja 1lt,,0
"https://static.wixstatic.com/media/fc80e7_f1a548429923415fa076250c2865bc0f~mv2.png/v1/fit/w_50,h_50,q_90/file.png",Imagen,Spaguetti Rex,1.83799E+11,All ProductsCuba Pantry Essentials,Spaguetti Rex,,0
